WOT-DATA,2
{{ID}},TopTurretBase
{{EN}},Base visibility with top turret.
{{RU}},Базовый обзор из топ башни.
ussr-R20_T-44_IGR,380,#221
ussr-R22_T-46,310,#221
ussr-R22_T-46_bootcamp,260,#221
ussr-R23_T-43,370,#221
ussr-R24_SU-76,290,#221
ussr-R25_GAZ-74b,310,#221
ussr-R26_SU-8,260,#221
ussr-R27_SU-14,260,#221
ussr-R31_Valentine_LL,350,#221
ussr-R31_Valentine_LL_IGR,350,#221
ussr-R32_Matilda_II_LL,350,#221
ussr-R33_Churchill_LL,350,#221
ussr-R34_BT-SV,280,#221
ussr-R38_KV-220,310,#221
ussr-R38_KV-220_beta,310,#221
ussr-R39_KV-3,340,#221
ussr-R40_T-54,390,#221
ussr-R41_T-50,350,#221
ussr-R42_T-60,300,#221
ussr-R43_T-70,310,#221
ussr-R43_T-70_bootcamp,300,#221
ussr-R44_T80,330,#221
ussr-R45_IS-7,400,#221
ussr-R45_IS-7_fallout,400,#221
ussr-R45_IS-7_IGR,400,#221
ussr-R46_KV-13,360,#221
ussr-R47_ISU-152,350,#221
ussr-R47_ISU-152_IGR,350,#221
ussr-R49_SU100Y,350,#221
ussr-R50_SU76I,300,#221
ussr-R50_SU76I_bootcamp,300,#221
ussr-R51_Object_212,270,#221
ussr-R52_Object_261,300,#221
ussr-R53_Object_704,360,#221
ussr-R54_KV-5,350,#221
ussr-R54_KV-5_IGR,350,#221
ussr-R56_T-127,320,#221
ussr-R57_A43,360,#221
ussr-R58_SU-101,350,#221
ussr-R59_A44,370,#221
ussr-R60_Object416,380,#221
ussr-R61_Object252,350,#221
ussr-R61_Object252_BF,350,#221
ussr-R61_Object252_FL,350,#221
ussr-R63_ST_I,380,#221
ussr-R66_SU-26,260,#221
ussr-R67_M3_LL,280,#221
ussr-R68_A-32,320,#221
ussr-R70_T_50_2,330,#221
ussr-R71_IS_2B,350,#221
ussr-R72_T150,330,#221
ussr-R73_KV4,350,#221
ussr-R74_SU100M1,350,#221
ussr-R75_SU122_54,370,#221
ussr-R77_KV2,330,#221
ussr-R77_KV2_IGR,330,#221
ussr-R78_SU_85I,330,#221
ussr-R80_KV1,310,#221
ussr-R81_IS8,400,#221
ussr-R84_Tetrarch_LL,260,#221
ussr-R86_LTP,310,#221
ussr-R86_LTP_bootcamp,310,#221
ussr-R87_T62A,400,#221
ussr-R87_T62A_fallout,400,#221
ussr-R88_Object268,370,#221
ussr-R89_SU122_44,330,#221
ussr-R90_IS_4M,400,#221
ussr-R91_SU14_1,260,#221
ussr-R93_Object263,360,#221
ussr-R93_Object263B,390,#221
ussr-R95_Object_907,400,#221
ussr-R95_Object_907A,400,#221
ussr-R96_Object_430,380,#221
ussr-R96_Object_430B,400,#221
ussr-R97_Object_140,400,#221
ussr-R97_Object_140_bob,400,#221
ussr-R98_T44_85,370,#221
ussr-R98_T44_85M,390,#221
ussr-R99_T44_122,380,#221
