WOT-DATA,2
{{ID}},MaxDamage,MaxPenetration,MaxPenetrationDamage,TopGunReloadTime
{{EN}},Damage using the best gun/shell (except premium shells).,Penetration using the best gun/shell (except premium shells).,Damage using the most penetrating gun/shell (except premium shells).,Top gun reload time.
{{RU}},Урон лучшей пушкой/снарядом (кроме голды).,Пробитие лучшей пушкой/снарядом (кроме голды).,Урон пушкой/снарядом с лучшим пробитием (кроме голды).,Время перезарядки топового орудия.
ussr-R25_GAZ-74b,280,130,160,"4,5",#266
ussr-R26_SU-8,910,88,910,"27,5",#266
ussr-R27_SU-14,1850,260,1450,46,#266
ussr-R31_Valentine_LL,62,51,47,"2,28571428571429",#266
ussr-R31_Valentine_LL_IGR,62,51,47,"2,28571428571429",#266
ussr-R32_Matilda_II_LL,156,86,110,"3,71428571428571",#266
ussr-R33_Churchill_LL,75,110,75,"2,28571428571429",#266
ussr-R34_BT-SV,62,51,47,"2,28571428571429",#266
ussr-R38_KV-220,156,99,110,"4,28571428571429",#266
ussr-R38_KV-220_beta,156,99,110,"4,28571428571429",#266
ussr-R39_KV-3,530,175,250,"12,3",#266
ussr-R40_T-54,420,219,320,"7,8",#266
ussr-R41_T-50,65,75,55,"4,2",#266
ussr-R42_T-60,50,58,40,"2,7",#266
ussr-R43_T-70,65,75,55,"2,5",#266
ussr-R44_T80,65,75,55,"4,2",#266
ussr-R45_IS-7,640,250,490,"13,7",#266
ussr-R45_IS-7_fallout,640,250,490,"13,7",#266
ussr-R45_IS-7_IGR,640,250,490,"13,7",#266
ussr-R46_KV-13,450,144,180,"5,7",#266
ussr-R47_ISU-152,950,286,750,"17,6",#266
ussr-R47_ISU-152_IGR,950,286,750,"17,6",#266
ussr-R49_SU100Y,580,196,440,16,#266
ussr-R50_SU76I,156,86,110,"4,3",#266
ussr-R51_Object_212,1850,260,1450,"43,5",#266
ussr-R52_Object_261,1700,360,1100,35,#266
ussr-R53_Object_704,950,286,750,"17,1",#266
ussr-R54_KV-5,360,167,300,"8,57142857142857",#266
ussr-R54_KV-5_IGR,360,167,300,"8,57142857142857",#266
ussr-R56_T-127,62,51,47,"2,28571428571429",#266
ussr-R57_A43,165,125,115,"2,3",#266
ussr-R58_SU-101,530,258,440,12,#266
ussr-R59_A44,360,167,300,"10,5",#266
ussr-R60_Object416,420,201,320,8,#266
ussr-R61_Object252,530,175,390,"11,7",#266
ussr-R63_ST_I,530,258,440,"13,3",#266
ussr-R66_SU-26,164,80,110,"6,6",#266
ussr-R67_M3_LL,50,48,40,"2,5",#266
ussr-R68_A-32,164,66,110,"4,57142857142857",#266
ussr-R70_T_50_2,62,51,47,"2,3",#266
ussr-R71_IS_2B,530,175,390,"12,3",#266
ussr-R72_T150,450,167,300,"10,2",#266
ussr-R73_KV4,530,227,320,"10,3",#266
ussr-R74_SU100M1,330,183,250,"5,9",#266
ussr-R75_SU122_54,530,258,440,"8,8",#266
ussr-R77_KV2,910,167,300,"9,7",#266
ussr-R77_KV2_IGR,910,110,700,24,#266
ussr-R78_SU_85I,280,119,160,"4,5",#266
ussr-R80_KV1,450,120,160,5,#266
ussr-R81_IS8,530,258,440,"12,3",#266
ussr-R84_Tetrarch_LL,60,64,45,"2,85714285714286",#266
ussr-R86_LTP,62,51,47,"2,4",#266
ussr-R87_T62A,420,264,320,"6,6",#266
ussr-R87_T62A_fallout,420,264,320,"6,6",#266
ussr-R88_Object268,1100,303,750,"16,5",#266
ussr-R89_SU122_44,530,175,390,8,#266
ussr-R90_IS_4M,530,258,440,12,#266
ussr-R91_SU14_1,1850,260,1450,"55,5",#266
ussr-R93_Object263,750,290,550,"10,7",#266
ussr-R95_Object_907,420,264,320,"6,5",#266
ussr-R95_Object_907A,420,264,320,"6,5",#266
ussr-R96_Object_430,420,264,320,"6,4",#266
ussr-R97_Object_140,420,264,320,"6,6",#266
ussr-R98_T44_85,300,147,200,"6,3",#266
ussr-R99_T44_122,530,175,390,16,#266
