WOT-DATA,2
{{ID}},Tank
{{EN}},Tank hit points with the top turret.
{{RU}},Прочность танка с топ башней.
ussr-R154_T_34E_1943,660,#287
ussr-R155_Object_277,2200,#287
ussr-R156_IS_2M,1300,#287
ussr-R157_Object_279R,2400,#287
ussr-R158_LT_432,1100,#287
ussr-R159_SU_130PM,1100,#287
ussr-R16_SU-18,140,#287
ussr-R160_T_50_2,650,#287
ussr-R161_T_116,410,#287
ussr-R165_Object_703_II,1500,#287
ussr-R165_Object_703_II_2,1500,#287
ussr-R169_ST_II,2500,#287
ussr-R17_SU-100,650,#287
ussr-R170_IS_2_II,1500,#287
ussr-R171_IS_3_II,1800,#287
ussr-R172_Object_752,1750,#287
ussr-R173_K_91_2,1750,#287
ussr-R174_BT-5,410,#287
ussr-R175_IS_2_screen,1230,#287
ussr-R177_ISU_152K_BL10,1200,#287
ussr-R18_SU-152,870,#287
ussr-R18_SU-152_IGR,870,#287
ussr-R19_IS-3,1500,#287
ussr-R19_IS-3_IGR,1500,#287
ussr-R20_T-44,1300,#287
ussr-R20_T-44_FL,1300,#287
ussr-R20_T-44_IGR,1300,#287
ussr-R22_T-46,445,#287
ussr-R22_T-46_bootcamp,425,#287
ussr-R23_T-43,1100,#287
ussr-R24_SU-76,405,#287
ussr-R25_GAZ-74b,400,#287
ussr-R26_SU-8,300,#287
ussr-R27_SU-14,410,#287
ussr-R31_Valentine_LL,580,#287
ussr-R31_Valentine_LL_IGR,380,#287
ussr-R32_Matilda_II_LL,800,#287
ussr-R33_Churchill_LL,920,#287
ussr-R34_BT-SV,425,#287
ussr-R38_KV-220,900,#287
ussr-R38_KV-220_beta,900,#287
ussr-R39_KV-3,1400,#287
ussr-R40_T-54,1650,#287
ussr-R41_T-50,550,#287
ussr-R42_T-60,340,#287
ussr-R43_T-70,410,#287
ussr-R43_T-70_bootcamp,390,#287
ussr-R44_T80,540,#287
ussr-R45_IS-7,2400,#287
ussr-R45_IS-7_fallout,2150,#287
ussr-R45_IS-7_IGR,2150,#287
ussr-R46_KV-13,1120,#287
ussr-R47_ISU-152,1200,#287
ussr-R47_ISU-152_IGR,1010,#287
ussr-R49_SU100Y,780,#287
ussr-R50_SU76I,285,#287
ussr-R50_SU76I_bootcamp,325,#287
ussr-R51_Object_212,460,#287
ussr-R52_Object_261,510,#287
ussr-R53_Object_704,1600,#287
ussr-R54_KV-5,1780,#287
ussr-R54_KV-5_IGR,1780,#287
ussr-R56_T-127,445,#287
ussr-R57_A43,820,#287
ussr-R58_SU-101,1100,#287
ussr-R59_A44,1100,#287
ussr-R60_Object416,1200,#287
ussr-R61_Object252,1550,#287
ussr-R61_Object252_BF,1550,#287
ussr-R61_Object252_FL,1550,#287
ussr-R63_ST_I,1900,#287
ussr-R66_SU-26,195,#287
ussr-R67_M3_LL,390,#287
ussr-R68_A-32,550,#287
ussr-R70_T_50_2,770,#287
ussr-R71_IS_2B,1280,#287
ussr-R72_T150,990,#287
ussr-R73_KV4,1700,#287
ussr-R74_SU100M1,850,#287
ussr-R75_SU122_54,1000,#287
ussr-R77_KV2,960,#287
ussr-R77_KV2_IGR,860,#287
ussr-R78_SU_85I,500,#287
ussr-R80_KV1,840,#287
ussr-R81_IS8,1800,#287
ussr-R84_Tetrarch_LL,280,#287
ussr-R86_LTP,410,#287
ussr-R86_LTP_bootcamp,360,#287
ussr-R87_T62A,1950,#287
ussr-R87_T62A_fallout,1950,#287
ussr-R88_Object268,1950,#287
ussr-R89_SU122_44,840,#287
ussr-R90_IS_4M,2500,#287
ussr-R91_SU14_1,350,#287
ussr-R93_Object263,1800,#287
ussr-R93_Object263B,1900,#287
ussr-R95_Object_907,2000,#287
ussr-R95_Object_907A,2000,#287
ussr-R96_Object_430,1800,#287
ussr-R96_Object_430B,2000,#287
ussr-R97_Object_140,1900,#287
ussr-R97_Object_140_bob,1900,#287
ussr-R98_T44_85,1100,#287
ussr-R98_T44_85M,1100,#287
ussr-R99_T44_122,1100,#287
