WOT-DATA,2
usa-A111_T25_Pilot,T25 Pilot 1,#297
usa-A112_T71E2,T71 CMCD P,#297
usa-A112_T71E2R,T71 CMCD,#297
usa-A115_Chrysler_K,Chrysler K,#297
usa-A115_Chrysler_K_GF,Chrysler GF,#297
usa-A116_XM551,Sheridan,#297
usa-A117_T26E5,T26E5,#297
usa-A117_T26E5_FL,T26E5 FL,#297
usa-A117_T26E5_Patriot,T26E5 P,#297
usa-A118_M4_Thunderbolt,Thunderbolt,#297
usa-A12_T32,T32,#297
usa-A12_T32_FL,T32 FL,#297
usa-A120_M48A5,M48 Patton,#297
usa-A120_M48A5_IGR,M48 Patton,#297
usa-A121_M26_Cologne,Eagle 7,#297
usa-A121_M26_Cologne_SE20_Gen_4_Lvl_3,T26E3,#297
usa-A122_TS-5,TS-5,#297
usa-A123_T78,T78,#297
usa-A124_T54E2,Renegade,#297
usa-A125_AEP_1,AE Phase I,#297
usa-A126_PzVI_Tiger_II_capt,King Tiger (C),#297
usa-A127_TL_1_LPC,TL-1 LPC,#297
usa-A128_concept_1b,Concept 1B,#297
usa-A129_T6_medium,T6 Medium,#297
usa-A13_T34_hvy,T34,#297
usa-A13_T34_hvy_BF,T34 B,#297
usa-A13_T34_hvy_FL,T34 FL,#297
usa-A13_T34_hvy_IGR,T34,#297
usa-A130_Super_Hellcat,Super Hellcat,#297
usa-A14_T30,T30,#297
usa-A15_T57,T57,#297
usa-A16_M7_Priest,M7 Priest,#297
usa-A17_M37,M37,#297
usa-A18_M41,M41 HMC,#297
usa-A19_T2_lt,T2 Light,#297
usa-A21_T14,T14,#297
usa-A22_M5_Stuart,M5 Stuart,#297
usa-A22_M5_Stuart_bootcamp,M5 Stuart,#297
usa-A23_M7_med,M7,#297
usa-A24_T2_med,T2 Medium,#297
usa-A24_T2_med_bot,T2 Medium,#297
usa-A25_M2_med,M2 Medium,#297
usa-A25_M2_med_bootcamp,M2 Medium,#297
usa-A26_T18,T18,#297
usa-A27_T82,T82 HMC,#297
usa-A29_T40,T40,#297
usa-A30_M10_Wolverine,Wolverine,#297
usa-A31_M36_Slagger,Jackson,#297
usa-A32_M12,M12,#297
usa-A33_MTLS-1G14,MTLS-1G14,#297
usa-A34_M24_Chaffee,Chaffee,#297
usa-A35_Pershing,Pershing,#297
usa-A35_Pershing_IGR,Pershing,#297
usa-A36_Sherman_Jumbo,M4A3E2,#297
usa-A36_Sherman_Jumbo_bootcamp,M4A3E2,#297
usa-A36_Sherman_Jumbo_IGR,M4A3E2,#297
usa-A36_Sherman_Jumbo_SE20_Gen_4_Lvl_2,M4A3 Sherman Jumbo,#297
usa-A37_M40M43,M40/M43,#297
usa-A38_T92,T92 HMC,#297
usa-A39_T28,T28,#297
usa-A40_T95,T95,#297
usa-A41_M18_Hellcat,Hellcat,#297
usa-A43_M22_Locust,Locust,#297
usa-A44_M4A2E4,M4A2E4,#297
usa-A45_M6A2E1,M6A2E1,#297
usa-A46_T3,T3 HMC,#297
usa-A57_M8A1,M8A1,#297
usa-A58_T67,T67,#297
usa-A58_T67_IGR,T67,#297
usa-A62_Ram-II,Ram II,#297
usa-A63_M46_Patton,M46 Patton,#297
usa-A63_M46_Patton_KR,M46 KR,#297
usa-A64_T25_AT,T25 AT,#297
usa-A66_M103,M103,#297
usa-A67_T57_58,T57 Heavy,#297
usa-A68_T28_Prototype,T28 Prot.,#297
usa-A69_T110E5,T110E5,#297
usa-A71_T21,T21,#297
usa-A72_T25_2,T25/2,#297
usa-A74_T1_E6,T1E6,#297
usa-A78_M4_Improved,M4 Improved,#297
usa-A80_T26_E4_SuperPershing,T26E4,#297
usa-A80_T26_E4_SuperPershing_FL,T26E4 FL,#297
usa-A81_T95_E2,T95E2,#297
usa-A83_T110E4,T110E4,#297
usa-A85_T110E3,T110E3,#297
usa-A86_T23E3,T23E3,#297
usa-A87_M44,M44,#297
usa-A88_M53_55,M53/M55,#297
usa-A89_T54E1,T54E1,#297
usa-A90_T69,T69,#297
usa-A90_T69_IGR,T69,#297
usa-A92_M60,M60,#297
usa-A93_T7_Combat_Car,T7 Car,#297
usa-A94_T37,T37,#297
usa-A95_T95_E6,T95E6,#297
usa-A97_M41_Bulldog,M41 Bulldog,#297
usa-A99_T92_LT,T92,#297
ussr-Observer,Zuschauer,#297
ussr-R01_IS,IS,#297
ussr-R01_IS_SE20_Gen_1_Lvl_1,IS-1,#297
ussr-R01_IS_SE20_Gen_1_Lvl_2,IS-2,#297
ussr-R02_SU-85,SU-85,#297
ussr-R03_BT-7,BT-7,#297
ussr-R03_BT-7_bootcamp,BT-7,#297
ussr-R04_T-34,T-34,#297
ussr-R05_KV,KV,#297
ussr-R06_T-28,T-28,#297
ussr-R06_T-28_bootcamp,T-28,#297
ussr-R07_T-34-85,T-34-85,#297
ussr-R07_T-34-85_bootcamp,T-34-85,#297
ussr-R07_T-34-85_SE20_Gen_2_Lvl_1,T-34-85,#297
ussr-R07_T-34-85_training,T-34-85,#297
ussr-R08_BT-2,BT-2,#297
ussr-R08_BT-2_bootcamp,BT-2,#297
ussr-R09_T-26,T-26,#297
ussr-R09_T-26_bot,T-26,#297
ussr-R10_AT-1,AT-1,#297
ussr-R100_SU122A,SU-122A,#297
ussr-R101_MT25,MT-25,#297
ussr-R104_Object_430_II,Obj. 430 II,#297
ussr-R105_BT_7A,BT-7 Art.,#297
ussr-R106_KV85,KV-85,#297
ussr-R106_KV85_IGR,KV-85,#297
ussr-R107_LTB,LTTB,#297
ussr-R108_T34_85M,T-34-85M,#297
ussr-R108_T34_85M_SE20_Gen_2_Lvl_2,T-34-85M,#297
ussr-R109_T54S,T-54 lt.,#297
ussr-R11_MS-1,MS-1,#297
ussr-R11_MS-1_bot,MS-1,#297
ussr-R110_Object_260,Obj. 260,#297
ussr-R111_ISU130,ISU-130,#297
ussr-R112_T54_45,T-54 Mod. 1,#297
ussr-R112_T54_45_FL,T-54 Mod. 1 FL,#297
ussr-R113_Object_730,IS-5,#297
ussr-R114_Object_244,Obj. 244,#297
ussr-R115_IS-3_auto,IS-3A,#297
ussr-R115_IS-3_auto_test,IS-3A (T),#297
ussr-R116_ISU122C_Berlin,ISU-122S,#297
ussr-R116_ISU122C_Berlin_SE20_Gen_0_Lvl_3,ISU-122S,#297
ussr-R117_T34_85_Rudy,Rudy UdSSR,#297
ussr-R118_T28_F30,T-28E F-30,#297
ussr-R119_Object_777,Obj. 777 II,#297
ussr-R119_Object_777C,Obj. 777 IIC,#297
ussr-R12_A-20,A-20,#297
ussr-R120_T22SR_A22,T-22 med.,#297
ussr-R121_KV4_KTT,KV-4 KTTS,#297
ussr-R122_T44_100,T-44-100,#297
ussr-R122_T44_100B,T-44-100 (B),#297
ussr-R123_Kirovets_1,Kirovets-1,#297
ussr-R125_T_45,T-45,#297
ussr-R126_Object_730_5,Obj. 268 5,#297
ussr-R127_T44_100_K,Т-44-100 (К),#297
ussr-R127_T44_100_P,T-44-100 (R),#297
ussr-R127_T44_100_U,Т-44-100 (У),#297
ussr-R128_KV4_Kreslavskiy,KV-4 Kresl.,#297
ussr-R129_Object_257,Obj. 257 (P),#297
ussr-R13_KV-1s,KV-1S,#297
ussr-R131_Tank_Gavalov,LTG,#297
ussr-R132_VNII_100LT,T-100 LT,#297
ussr-R133_KV_122,KV-122,#297
ussr-R134_Object_252K,Defender,#297
ussr-R134_Object_252U,Obj. 252U,#297
ussr-R135_T_103,T-103,#297
ussr-R139_IS_M,IS-M,#297
ussr-R14_SU-5,SU-5,#297
ussr-R140_M4_Loza,Lozas M4-A2,#297
ussr-R140_M4_Loza_SE20_Gen_4_Lvl_1,M4А2 Sherman,#297
ussr-R143_T_29,T-29,#297
ussr-R144_K_91,K-91,#297
ussr-R145_Object_705_A,Obj. 705A,#297
ussr-R146_STG,STG,#297
ussr-R146_STG_Tday,Garde,#297
ussr-R148_Object_430_U,Obj. 430U,#297
ussr-R149_Object_268_4,Obj. 268 4,#297
ussr-R15_S-51,S-51,#297
ussr-R151_Object_257_2,Obj. 257,#297
ussr-R152_KV2_W,KV-2 (R),#297
ussr-R153_Object_705,Obj. 705,#297
ussr-R154_T_34E_1943,T-34S,#297
ussr-R155_Object_277,Obj. 277,#297
ussr-R156_IS_2M,IS-2M,#297
ussr-R157_Object_279R,Obj. 279 (f),#297
ussr-R158_LT_432,LP-432,#297
ussr-R159_SU_130PM,SU-130PM,#297
ussr-R16_SU-18,SU-18,#297
ussr-R160_T_50_2,T-50-2,#297
ussr-R161_T_116,T-116,#297
ussr-R165_Object_703_II,703 II (122),#297
ussr-R165_Object_703_II_2,703 II (100),#297
ussr-R169_ST_II,ST-II,#297
ussr-R17_SU-100,SU-100,#297
ussr-R17_SU-100_SE20_Gen_0_Lvl_1,SU-85M,#297
ussr-R17_SU-100_SE20_Gen_0_Lvl_2,SU-100,#297
ussr-R170_IS_2_II,IS-2-II,#297
ussr-R171_IS_3_II,IS-3-II,#297
ussr-R172_Object_752,Obj. 752,#297
ussr-R173_K_91_2,K-91-2,#297
ussr-R174_BT-5,BT-5,#297
ussr-R175_IS_2_screen,IS-2S,#297
ussr-R177_ISU_152K_BL10,ISU-152K,#297
ussr-R18_SU-152,SU-152,#297
ussr-R18_SU-152_IGR,SU-152,#297
ussr-R19_IS-3,IS-3,#297
ussr-R19_IS-3_IGR,IS-3,#297
ussr-R20_T-44,T-44,#297
ussr-R20_T-44_FL,T-44 FL,#297
ussr-R20_T-44_IGR,T-44,#297
ussr-R22_T-46,T-46,#297
ussr-R22_T-46_bootcamp,T-46,#297
ussr-R23_T-43,T-43,#297
ussr-R24_SU-76,SU-76M,#297
ussr-R25_GAZ-74b,SU-85B,#297
ussr-R26_SU-8,SU-8,#297
ussr-R27_SU-14,SU-14-2,#297
ussr-R31_Valentine_LL,Valentine II,#297
ussr-R31_Valentine_LL_IGR,Valentine II,#297
ussr-R32_Matilda_II_LL,Matilda IV,#297
ussr-R33_Churchill_LL,Churchill III,#297
ussr-R34_BT-SV,BT-SV,#297
ussr-R38_KV-220,KV-220-2,#297
ussr-R38_KV-220_beta,KV-220-2 T,#297
ussr-R39_KV-3,KV-3,#297
ussr-R40_T-54,T-54,#297
ussr-R41_T-50,T-50,#297
ussr-R42_T-60,T-60,#297
ussr-R43_T-70,T-70,#297
ussr-R43_T-70_bootcamp,T-70,#297
ussr-R44_T80,T-80,#297
ussr-R45_IS-7,IS-7,#297
ussr-R45_IS-7_fallout,(R) IS-7,#297
ussr-R45_IS-7_IGR,IS-7,#297
ussr-R46_KV-13,KV-13,#297
ussr-R47_ISU-152,ISU-152,#297
ussr-R47_ISU-152_IGR,ISU-152,#297
ussr-R49_SU100Y,SU-100Y,#297
ussr-R50_SU76I,SU-76I,#297
ussr-R50_SU76I_bootcamp,SU-76I,#297
ussr-R51_Object_212,212A,#297
ussr-R52_Object_261,Obj. 261,#297
ussr-R53_Object_704,Obj. 704,#297
ussr-R54_KV-5,KV-5,#297
ussr-R54_KV-5_IGR,KV-5,#297
ussr-R56_T-127,T-127,#297
ussr-R57_A43,A-43,#297
ussr-R58_SU-101,SU-101,#297
ussr-R59_A44,A-44,#297
ussr-R60_Object416,Obj. 416,#297
ussr-R61_Object252,IS-6,#297
ussr-R61_Object252_BF,IS-6 B,#297
ussr-R61_Object252_FL,IS-6 FL,#297
ussr-R63_ST_I,ST-I,#297
ussr-R66_SU-26,SU-26,#297
ussr-R67_M3_LL,M3 Light,#297
ussr-R68_A-32,A-32,#297
ussr-R70_T_50_2,T-50-2,#297
ussr-R71_IS_2B,IS-2,#297
ussr-R71_IS_2B_SE20_Gen_1_Lvl_3,IS-2V,#297
ussr-R72_T150,T-150,#297
ussr-R73_KV4,KV-4,#297
ussr-R74_SU100M1,SU-100M1,#297
ussr-R75_SU122_54,SU-122-54,#297
ussr-R77_KV2,KV-2,#297
ussr-R77_KV2_IGR,KV-2,#297
ussr-R78_SU_85I,SU-85I,#297
ussr-R80_KV1,KV-1,#297
ussr-R81_IS8,T-10,#297
ussr-R84_Tetrarch_LL,Tetrarch,#297
ussr-R86_LTP,LTP,#297
ussr-R86_LTP_bootcamp,LTP,#297
ussr-R87_T62A,T-62A,#297
ussr-R87_T62A_fallout,(R) T-62A,#297
ussr-R88_Object268,Obj. 268,#297
ussr-R89_SU122_44,SU-122-44,#297
ussr-R90_IS_4M,IS-4,#297
ussr-R91_SU14_1,SU-14-1,#297
ussr-R93_Object263,Obj. 263,#297
ussr-R93_Object263B,Obj. 263B,#297
ussr-R95_Object_907,Obj. 907,#297
ussr-R95_Object_907A,Obj. 907A,#297
ussr-R96_Object_430,Obj. 430,#297
ussr-R96_Object_430B,Obj. 430B,#297
ussr-R97_Object_140,Obj. 140,#297
ussr-R97_Object_140_bob,Obj. 140 BR,#297
ussr-R98_T44_85,T-44-85,#297
ussr-R98_T44_85_SE20_Gen_2_Lvl_3,T-44-85,#297
ussr-R98_T44_85M,T-44 lt.,#297
ussr-R99_T44_122,T-44-122,#297
